Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_Legal_&_General_(PMC)_MSCI_World_Small_Cap_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,14.56%,NA,NA,"<HOLDINGS LESS THAN 0.01%,8.7%>,<TENET HEALTHCARE CORPORATION,0.2%>,<CARVANA CO.,0.2%>,<NUTANIX INC,0.2%>,<TOLL BROTHERS,0.2%>,<REINSURANCE GROUP OF AMERICA INCORPORATED,0.2%>,<US FOODS HLDG CORP,0.2%>,<NATERA INC,0.2%>,<CASEY'S GENERAL STORES INC,0.2%>,<XPO,0.2%>","<North American Equities,56.2%>,<Developed Europe Equities,10.3%>,<Japan Equities,9.2%>,<UK Equities,5.0%>,<Real Estate Investment Trusts,4.3%>,<Developed Asia Equities (ex Japan),3.6%>,<Middle East & Africa Equities,0.8%>,<Managed Funds,0.4%>,<South & Central America Equities,0.2%>,<North American Investment Grade Bonds,0.1%>,<Alternative - Trading Strategies,0.1%>,<Non-Classified Equities,0.1%>,<Other,9.0%>,<Cash/Money Market,0.9%>","<North America,56.4%>,<Developed Europe,10.3%>,<Japan,9.2%>,<Middle East & Africa,0.8%>,<South & Central America,0.2%>,<Developed Asia,0.9%>,<Australasia & New Zealand,2.8%>,<Cash/Money Market,0.9%>","<Industrials,19.4%>,<Consumer Discretionary,13.8%>,<Financials,13.7%>,<Technology,9.1%>,<Health Care,8.5%>,<Real Estate,7.2%>,<Basic Materials,5.6%>,<Consumer Staples,3.9%>,<Energy,3.8%>,<Utilities,2.8%>,<Telecommunications,1.3%>,<Managed Funds,0.4%>,<Other,9.4%>,<Cash/Money Market,0.9%>",NA,NA,NA,14.56%,4,Yes,"<Mega,0.0%>,<Large,29.4%>,<Medium,40.2%>,<Small,13.4%>,<Micro,0.0%>,<Other,16.1%>,<Cash/Money Market,0.9%>",NA,0.90%,NA
Aviva_Pension_MyM_Legal_&_General_(PMC)_Retirement_Income_Multi-Asset_[Unnamed_Life-Pension_fund_unit],1.39%,8.84%,-9.12%,12.91%,13.14%,17.18%,"<HOLDS LESS THAN 0.01%,19.0%>,<4 1/2 Treasury 2034,7.1%>,<USA (GOVT) I/L 1.5 15/02/53,2.5%>,<USA (GOVT) I/L 1.375 15/07/33,2.1%>,<41% Treasury Gilt 2055,1.7%>,<NEW $ WALES TREAS 1.75 20/03/34,1.4%>,<QUEENSLAND TREAS 4.5 22/08/35,1.4%>,<LG EM MK IN GR HD CUR CP Z G,0.8%>,<USA (GOVT) I/L 1.75 15/01/34,0.5%>,<MANAGED PROPERTY FUND (WEEKLY),0.5%>","<International Bonds,18.6%>,<International Equities,18.1%>,<Managed Funds,9.9%>,<UK Equities,9.0%>,<Property,2.5%>,<UK Equities,2.3%>,<UK Corporate Bonds,2.0%>,<Commodities,0.5%>,<Other,23.6%>,<Cash/Money Market,13.5%>","<North America,18.2%>,<UK,13.3%>,<Developed Europe,6.8%>,<Emerging Europe,0.1%>,<Japan,3.7%>,<Developed Asia,0.5%>,<Australia & New Zealand,4.3%>","<Managed Funds,9.9%>,<Government bonds,9.0%>,<Real Estate,4.4%>,<Utilities,3.8%>,<Technology,2.7%>,<Financials,2.7%>,<Consumer Discretionary,2.4%>,<Industrials,2.1%>,<Health Care,1.8%>,<Basic Materials,0.9%>,<Consumer Staples,0.8%>,<Energy,0.7%>,<Other,45.4%>,<Cash/Money Market,13.5%>","<AAA,11.3%>,<AA,12.3%>,<A,1.0%>,<BBB,1.9%>,<BB,0.2%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,13.5%>,<Not Rated,2.9%>,<Non Debt,56.9%>",NA,NA,"<1Yr,13.14%>,<3Yr,5.76%>,<5Yr,17.18%>",NA,Yes,NA,"<Corporate bonds,International Bonds>",13.50%,NA
Aviva_Pension_MyM_Legal_&_General_Future_World_Climate_Change_Equity_Factors_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,13.36%,20.27%,NA,"<APPLE,5.0%>,<MICROSOFT CORPORATION,5.0%>,<ALPHABET INC,2.9%>,<ALPHABET INC,2.5%>,<CISCO SYSTEMS,1.9%>,<JOHNSON & JOHNSON,1.7%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,1.3%>,<MOODY'S CORPORATION,1.3%>,<VISA,1.0%>,<AMAZON.COM,0.8%>","<North American Equities,56.9%>,<Developed Europe Equities,14.0%>,<Japan Equities,8.8%>,<Emerging Asia Equities,6.4%>,<UK Equities,6.3%>,<Developed Asia Equities (ex Japan),3.0%>,<South & Central America Equities,0.8%>,<Real Estate Investment Trusts,0.6%>,<Emerging Europe Equities,0.6%>,<Non-Classified Equities,0.5%>,<Middle East & Africa Equities,0.3%>,<Developed Europe High Yield Bonds,0.2%>,<Other,0.2%>,<Cash/Money Market,1.7%>","<North America,56.9%>,<Developed Europe,14.0%>,<Japan,8.8%>,<Emerging Asia,6.4%>,<UK,6.3%>,<Developed Asia (ex Japan),3.0%>,<South & Central America,0.8%>,<Real Estate Investment Trusts,0.6%>,<Emerging Europe,0.6%>,<Middle East & Africa,0.3%>","<Technology,23.7%>,<Industrials,15.2%>,<Financials,12.2%>,<Consumer Discretionary,11.1%>,<Health Care,7.6%>,<Utilities,5.8%>,<Basic Materials,5.4%>,<Telecommunications,4.4%>,<Energy,2.3%>,<Real Estate,1.9%>",NA,NA,NA,NA,"<4,3>",Yes,"<Mega (Greater than 50bn),32.5%>,<Large (3bn-50bn),56.1%>,<Medium (1bn-3bn),4.1%>,<Small (50m-1bn),0.3%>,<Micro (Less than 50m),0.0%>,<Other,5.3%>,<Cash/Money Market,1.7%>","<Fixed Interest, No>",NA,NA
Aviva_Pension_MyM_LGIM_Diversified_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,13.46%,7.08%,20.39%,"<HOLDINGS LESS THAN 0.01%,33.2%>,<MANAGED PROPERTY FUND (WEEKLY),4.6%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,0.6%>,<PROLOGIS,0.4%>,<APPLE,0.4%>,<ASTRAZENECA,0.4%>,<United States Treasury Bill,0.4%>,<NEXTERA ENERGY,0.3%>,<NVIDIA CORPORATION,0.3%>,<MICROSOFT CORPORATION,0.3%>","<International Equities,28.9%>,<International Bonds,14.6%>,<UK Equities,4.2%>,<Property,4.1%>,<Managed Funds,2.5%>,<UK Gilts,1.6%>,<UK Corporate Bonds,0.8%>,<Investment Trusts,0.6%>,<Commodities,0.1%>,<Cash/Money Market,2.3%>","<North America,16.8%>,<UK,6.6%>,<Dev. Europe,9.7%>,<Emerging Europe,0.6%>,<Japan,5.4%>,<Emerging Asia,5.0%>,<Middle East & Africa,1.0%>,<South & Central America,1.9%>,<Australia & New Zealand,1.8%>","<Financials,6.9%>,<Real Estate,6.8%>,<Technology,4.4%>,<Industrials,4.0%>,<Utilities,4.0%>,<Consumer Discretionary,3.1%>,<Health Care,2.8%>,<Managed Funds,2.5%>,<Energy,1.7%>,<Government bonds,1.6%>","<AAA,2.7%>,<AA,2.4%>,<A,0.6%>,<BBB,2.0%>,<BB,1.0%>,<B,1.0%>,<Less than CCC,0.2%>,<Cash/Money Market,2.3%>,<Not Rated,7.1%>,<Non Debt,80.7%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,Yes>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,Yes>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,NA,NA
Aviva_Pension_MyM_LGIM_Future_World_[Unnamed_Life-Pension_fund_unit],0.52%,30.04%,-14.20%,17.33%,21.83%,56.64%,"<APPLE,5.1%>,<MICROSOFT CORPORATION,4.9%>,<ALPHABET INC,2.7%>,<ALPHABET INC,2.3%>,<CISCO SYSTEMS,2.0%>,<HOLDINGS LESS THAN 0.01%,1.9%>,<JOHNSON & JOHNSON,1.8%>,<MOODY'S CORPORATION,1.4%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,1.3%>,<VISA,1.0%>","<North American Equities,57.3%>,<Developed Europe Equities,13.9%>,<Japan Equities,8.4%>,<UK Equities,6.3%>,<Emerging Asia Equities,5.8%>,<Developed Asia Equities (ex Japan),2.9%>,<South & Central America Equities,0.7%>,<Real Estate Investment,0.5%>,<Trusts,0.5%>,<Emerging Europe Equities,0.5%>,<Managed Funds,0.4%>,<Non-Classified Equities,0.4%>,<Middle East & Africa,0.3%>,<Equities,2.1%>,<Cash/Money Market,0.5%>","<North America,57.3%>,<UK,6.3%>,<Developed Europe,14.1%>,<Japan,8.4%>,<Emerging Asia,5.8%>,<South & Central America,0.7%>,<Middle East & Africa,0.3%>,<Cash/Money Market,0.5%>","<Technology,23.2%>,<Industrials,15.4%>,<Financials,12.0%>,<Consumer Discretionary,10.9%>,<Consumer Staples,8.0%>,<Health Care,7.9%>,<Utilities,5.9%>,<Basic Materials,5.0%>,<Telecommunications,4.5%>,<Energy,2.2%>,<Real Estate,1.8%>,<Managed Funds,0.4%>,<Other,2.4%>,<Cash/Money Market,0.5%>",NA,NA,NA,0.52%,2,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,Yes>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),32.9%>,<Large (3bn-50bn),55.3%>,<Medium (1bn-3bn),3.4%>,<Small (50m-1bn),0.2%>,<Micro (Less than 50m),0.0%>,<Other,7.7%>,<Cash/Money Market,0.5%>",NA,0.50%,NA
Aviva_Pension_MyM_LGIM_Hybrid_Property_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,9.86%,0.37%,4.72%,"<Managed Property Fund,52.0%>,<Global Real Estate Equity Index Fund,30.2%>","<Direct Property,52.0%>,<Real Estate Investments,30.2%>,<Trusts,9.3%>,<Cash/Money Market,9.3%>,<Indirect Property,8.5%>","<UK,61.8%>,<North America,20.0%>,<Developed Europe,11.2%>,<Developed Asia,4.4%>,<Australia & New Zealand,1.8%>","<Property Shares,30.2%>,<Industrial,24.0%>,<Retail,14.3%>,<Office,11.7%>,<Diversified,11.2%>,<Cash/Money Market,8.6%>",NA,NA,NA,NA,NA,Yes,NA,NA,9.30%,NA
Aviva_Pension_MyM_LGIM_Infrastructure_Index_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,19.46%,17.17%,30.13%,"<NEXTERA ENERGY,6.4%>,<UNION PACIFIC CORPORATION,6.1%>,<American Tower Corporation American Tower Corp Ord USD0.01,4.1%>,<SOUTHERN COMPANY (THE),3.6%>,<DUKE ENERGY CORPORATION,3.4%>,<ENBRIDGE,2.9%>,<CSX CORPORATION,2.6%>,<CANADIAN NATIONAL RAILWAY COMPANY,2.6%>,<NATIONAL GRID,2.5%>,<NORFOLK SOUTHERN CORPORATION,2.3%>","<North American Equities,82.4%>,<Developed Europe Equities,4.4%>,<Japan Equities,4.1%>,<UK Equities,3.7%>,<Developed Asia Equities,2.6%>,<Managed Funds,1.1%>,<Emerging Asia Equities,0.2%>,<Cash/Money Market,1.3%>","<North America,82.4%>,<UK,3.7%>,<Developed Europe,4.4%>,<Japan,4.1%>,<Emerging Asia,0.2%>,<Developed Asia,1.8%>","<Utilities,52.7%>,<Industrials,20.5%>,<Energy,15.8%>,<Real Estate,7.0%>,<Telecommunications,1.5%>,<Managed Funds,1.1%>,<Cash/Money Market,1.3%>",NA,NA,NA,NA,NA,"A - General, Yes; B - Foreign Exchange Risk, Yes; C - Emerging Markets, No; D - Smaller Companies, No; E - Fixed Interest, No; F - Derivatives, No; G - Cash/Money Market Funds, No; H - Property Funds, No; I - High Yield Bonds, No; J - Reinsured Funds, Yes; K - Long Term Asset Funds, No",NA,NA,1.30%,NA
Aviva_Pension_MyM_Liontrust_Sustainable_Future_UK_Growth_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,28.49%,-13.26%,12.11%,"<3i Group Plc,4.6%>,<ASTRAZENECA,3.6%>,<LONDON STOCK EXCHANGE GROUP,3.4%>,<UNILEVER,3.3%>,<COMPASS GROUP,3.2%>,<Molten Ventures Plc,3.2%>,<ROYAL BANK OF SCOTLAND GROUP,3.1%>,<ASHTEAD GROUP,3.1%>,<GSK,2.9%>,<HALEON,2.7%>","<UK Equities,89.8%>,<Developed Europe Equities,4.2%>,<Investment Trusts,1.9%>,<North American Equities,1.8%>,<Real Estate Investment Trusts,1.1%>,<Cash/Money Market,1.2%>","<UK,89.8%>,<Developed Europe,4.2%>,<North America,1.8%>","<Financials,26.7%>,<Industrials,24.5%>,<Health Care,14.0%>,<Technology,10.2%>,<Consumer Discretionary,10.0%>,<Telecommunications,5.3%>,<Consumer Staples,3.3%>,<Utilities,2.1%>,<Basic Materials,1.4%>,<Real Estate,1.1%>,<Other,0.2%>,<Cash/Money Market,1.2%>",NA,NA,NA,NA,"<1,1>",Yes,"<Mega,9.8%>,<Large,43.6%>,<Medium,24.1%>,<Small,13.9%>,<Micro,0.1%>,<Other,7.4%>,<Cash/Money Market,1.2%>",NA,1.20%,NA
Aviva_Pension_MyM_M&G_Corporate_Bond_[Unnamed_Life-Pension_fund_unit],11.46%,8.58%,2.89%,9.93%,-5.16%,0.28%,"<4% Treasury Gilt 2063,4.2%>,<0.5% Treasury Gilt 2050,3.2%>,<M&G (LUX) FCP Sterling Liquidity Fund Z6A Acc,2.4%>,<IMPERIAL BRANDS FINANCE PLC 4.875% 06/10/2032,1.7%>,<EUROPEAN INVESTMENT BANK 4.875% 16/12/2030,1.7%>,<KFW 4.875% 03/02/2031,1.7%>,<BAT INTERNATIONAL FINANCE PLC 4.125% 12/04/2032,1.6%>,<1.1% Green Gilt 2053,1.6%>,<AT&T INC 4.375% 14/09/2029,1.5%>,<APPLE INC 3.05% 31/07/2029,1.5%>","<International Bonds,48.2%>,<UK Corporate Bonds,29.6%>,<UK Gilts,11.9%>,<Managed Funds,2.4%>,<Other,6.6%>,<Cash/Money Market,5.9%>","<North America,19.9%>,<UK,41.4%>,<Dev. Europe,18.8%>,<Japan,0.4%>,<Australia & New Zealand,1.7%>,<South & Central America,0.8%>",NA,"<AAA,15.0%>,<AA,16.3%>,<A,14.9%>,<BBB,39.8%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.1%>,<Cash/Money Market,5.9%>,<Not Rated,3.5%>,<Non Debt,4.5%>",NA,NA,NA,"<3,1,1,1,2>","<A - General,Yes>,<B - Foreign Exchange Risk,No>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,5.90%,NA
Aviva_Pension_MyM_M&G_Optimal_Income_[Unnamed_Life-Pension_fund_unit],13.46%,11.72%,-16.09%,12.60%,5.03%,13.28%,"<M&G (LUX) FCP Sterling Liquidity Fund Z6A Acc,6.3%>,<TREASURY NOTE 3.375% 15/05/2033,3.6%>,<TREASURY BOND 1.25% 15/05/2050,3.1%>,<TREASURY NOTE 2.375% 15/05/2029,3.0%>,<7/8 Treasury 2046,2.8%>,<TREASURY NOTE 1.375% 15/11/2031,2.7%>,<TREASURY NOTE 0.625% 15/05/2030,2.6%>,<0 5/8% Treasury Gilt 2050,2.6%>,<TREASURY BOND 1.375% 15/08/2050,2.4%>,<4¼% Treasury Gilt 2046,2.0%>","<International Bonds,62.1%>,<UK Gilts,11.9%>,<UK Corporate Bonds,9.9%>,<Managed Funds,6.3%>,<Alternative Trading,3.3%>,<Strategies,0.5%>,<International Equities,0.5%>,<UK Equities,0.2%>,<Other,2.9%>,<Cash/Money Market,2.9%>","<North America,32.0%>,<UK,22.0%>,<Developed Europe,23.0%>,<Emerging Europe,1.2%>,<Middle East & Africa,0.2%>,<Japan,0.4%>,<Developed Asia,0.1%>,<Australia & New Zealand,1.3%>,<South & Central America,1.4%>",NA,"<AAA,24.1%>,<AA,15.6%>,<A,11.4%>,<BBB,21.1%>,<BB,0.5%>,<B,0.0%>,<Less than CCC,0.3%>,<Cash/Money Market,2.9%>,<Not Rated,10.9%>,<Non Debt,13.2%>",NA,NA,NA,"<2,1>,<2,1>","<A - General,Yes>,<B - Foreign Exchange Risk,No>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,2.90%,NA
Aviva_Pension_MyM_MFS_Meridian_Global_Equity_[Unnamed_Life-Pension_fund_unit],1.39%,21.66%,-7.31%,12.99%,9.44%,43.93%,"<Visa,2.9%>,<Schneider Electric SE,2.8%>,<Thermo Fisher Scientific,2.5%>,<Alphabet Inc,2.3%>,<Medtronic,2.3%>,<Charles Schwab Corporation (The),2.2%>,<Willis Towers Watson Public Limited Company,2.0%>,<Comcast Corp(New),2.0%>,<LVMH Moet Hennessy Louis Vuitton,2.0%>,<Honeywell International,2.0%>","<North American Equities,45.6%>,<Developed Europe Equities,37.1%>,<UK Equities,8.3%>,<Non-Classified Equities,2.7%>,<Japan Equities,2.5%>,<Middle East & Africa Equities,1.2%>,<Emerging Asia Equities,1.0%>,<Developed Europe Equities,0.4%>,<Investment Grade Bonds,0.3%>,<South & Central America Equities,0.3%>,<Cash/Money Market,1.0%>","<North America,45.6%>,<Developed Europe,37.1%>,<UK,8.3%>,<Emerging Asia,1.0%>,<Japan,2.5%>","<Industrials,28.5%>,<Health Care,16.4%>,<Technology,12.4%>,<Financials,11.5%>,<Consumer Discretionary,9.8%>,<Consumer Staples,9.1%>,<Basic Materials,6.8%>,<Telecommunications,4.2%>,<Other,0.4%>,<Cash/Money Market,1.0%>",NA,NA,NA,1.39%,4,Yes,"<Mega (Greater than 50bn),34.0%>,<Large (3bn-50bn),46.6%>,<Medium (1bn-3bn),0.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,18.5%>,<Cash/Money Market,1.0%>","<Investment Grade Bonds,0.4%>,<Cash/Money Market,1.0%>",1.00%,NA
Aviva_Pension_MyM_Multi_Strategy_Target_Return_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,11.25%,23.18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"<Corporate Bonds,Yes>",NA,NA
Aviva_Pension_MyM_My_Future_Annuity_[Unnamed_Life-Pension_fund_unit],10.50%,1.93%,-30.91%,8.26%,-25.87%,-22.91%,"<41% Treasury Gilt 2049,9.4%>,<5/8% Treasury Gilt 2035,4.9%>,<41% Treasury Gilt 2042,4.2%>,<31% Treasury Gilt 2045,4.0%>,<34% Treasury Gilt 2053,3.8%>,<4% Treasury Gilt 2060,3.3%>,<41% Treasury Gilt 2055,2.5%>,<ZURICH FINANCE 5.125 23/11/52MTN,1.5%>,<14% Treasury Gilt 2051,1.4%>,<1 1/8 Treasury 2039,1.3%>","<UK Gilts,37.1%>,<International Bonds,29.5%>,<UK Corporate Bonds,29.4%>,<Other,2.4%>,<Cash/Money Market,1.5%>","<UK,66.5%>,<North America,12.2%>,<Dev. Europe,8.8%>,<Middle East & Africa,0.1%>,<Japan,0.4%>,<Developed Asia,0.1%>,<Australia & New Zealand,1.5%>",NA,"<AAA,1.2%>,<AA,42.8%>,<A,30.5%>,<BBB,17.0%>,<BB,0.4%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.5%>,<Not Rated,4.2%>,<Non Debt,2.4%>",NA,NA,6.18%,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,Yes>,<K - Long Term Asset Funds,No>",NA,NA,1.50%,NA
Aviva_Pension_MyM_My_Future_Cash_Lump_Sum_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,6.98%,3.60%,5.44%,"<0.5% Treasury Gilt 2025,1.8%>,<1.1% Treasury Gilt 2026,1.7%>,<4.1% Treasury Gilt 2028,1.6%>,<3.1% Treasury Gilt 2025,1.5%>,<1.4% Treasury Gilt 2027,1.5%>,<2% Treasury Gilt 2025,1.5%>,<0.1% Treasury Gilt 2026,1.5%>,<5% Treasury Stock 2025,1.5%>,<0.4% Treasury Gilt 2025,1.5%>,<4.1% Treasury Gilt 2027,1.4%>","<International Bonds,41.1%>,<UK Equities,23.9%>,<UK Corporate Bonds,13.2%>,<Money Market,9.3%>,<Other,10.8%>,<Cash/Money Market,1.7%>","<North America,11.8%>,<UK,37.1%>,<Developed Europe,20.2%>,<Emerging Asia,1.6%>,<Japan,1.0%>,<South & Central America,0.3%>,<Middle East & Africa,0.4%>,<Australia & New Zealand,1.6%>","<Cash & Cash Equivalents,11.0%>,<Government Bonds,41.1%>,<Corporate Bonds,13.2%>,<Other,10.8%>","<AAA,16.7%>,<AA,31.5%>,<A,12.6%>,<BBB,11.5%>,<BB,0.2%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,11.0%>,<Not Rated,5.7%>,<Non Debt,10.8%>",NA,NA,NA,NA,Yes,NA,"<Corporate Bonds,UK & Government Bonds>",1.70%,NA
Aviva_Pension_MyM_My_Future_Consolidation_[Unnamed_Life-Pension_fund_unit],3.43%,5.34%,-9.32%,10.99%,5.38%,14.81%,"<0.5% Treasury Gilt 2025,1.7%>,<1% Treasury Gilt 2026,1.7%>,<5% Treasury Stock 2025,1.6%>,<41% Treasury Gilt 2028,1.5%>,<3.1% Treasury Gilt 2025,1.5%>,<0.8% Treasury Gilt 2026,1.5%>,<1% Treasury Gilt 2027,1.5%>,<2% Treasury Gilt 2025,1.4%>,<1.5% Treasury Gilt 2028,1.4%>,<4.1% Treasury Gilt 2027,1.3%>","<UK Gilts,34.4%>,<International Bonds,32.7%>,<International Equities,18.8%>,<UK Corporate Bonds,5.4%>,<Money Market,2.1%>,<Managed Funds,0.8%>,<UK Equities,0.6%>,<Property,0.3%>,<Alternative Trading,0.2%>,<Strategies,0.0%>,<Investment Trusts,0.0%>,<Other,3.8%>,<Cash/Money Market,0.9%>","<North America,27.9%>,<UK,40.4%>,<Developed Europe,15.4%>,<Emerging Asia,0.8%>,<Middle East & Africa,0.1%>,<Japan,3.8%>,<Australia & New Zealand,1.4%>,<South & Central America,0.1%>","<Government bonds,34.4%>,<Technology,5.6%>,<Industrials,2.8%>,<Financials,2.7%>,<Health Care,2.5%>,<Consumer Discretionary,2.5%>,<Consumer Staples,1.0%>,<Managed Funds,0.8%>,<Energy,0.8%>,<Basic Materials,0.6%>,<Telecommunications,0.6%>,<Real Estate,0.5%>,<Other,4.2%>,<Cash/Money Market,3.0%>","<AAA,14.0%>,<AA,37.9%>,<A,7.7%>,<BBB,7.0%>,<BB,0.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,3.0%>,<Not Rated,5.7%>,<Non Debt,24.5%>",NA,NA,NA,NA,Yes,NA,NA,NA,NA
Aviva_Pension_MyM_My_Future_Drawdown_[Unnamed_Life-Pension_fund_unit],15.32%,6.85%,-7.79%,15.32%,34.21%,NA,"<Microsoft Corporation,2.8%>,<NVIDIA Corporation,2.3%>,<Apple,2.3%>,<Amazon.com,0.9%>,<Johnson & Johnson,0.8%>,<Alphabet Inc,0.7%>,<Meta Platforms,0.7%>,<PepsiCo,0.7%>,<Alphabet Inc,0.6%>,<International Business Machines Corporation,0.6%>","<International Equities,47.6%>,<International Bonds,31.2%>,<UK Gilts,11.7%>,<UK Corporate Bonds,3.7%>,<Managed Funds,1.8%>,<UK Equities,1.1%>,<Property,0.7%>,<Alternative Trading,0.2%>,<Strategies,0.1%>,<Money Market,0.1%>,<Other,1.3%>,<Cash/Money Market,0.5%>","<North America,50.1%>,<UK,16.5%>,<Developed Europe,18.7%>,<Emerging Asia,1.1%>,<Middle East & Africa,0.1%>,<Japan,4.9%>,<Developed Asia,0.6%>,<Australia & New Zealand,1.9%>,<Cash/Money Market,0.7%>","<Technology,14.5%>,<Government Bonds,11.7%>,<Industrials,6.8%>,<Financials,6.5%>,<Consumer Discretionary,6.2%>,<Health Care,6.2%>,<Consumer Staples,2.4%>,<Energy,2.0%>,<Managed Funds,1.8%>,<Basic Materials,1.4%>,<Telecommunications,1.4%>,<Real Estate,1.3%>,<Other,37.3%>,<Cash/Money Market,0.7%>","<AAA,12.3%>,<AA,14.6%>,<A,7.7%>,<BBB,7.0%>,<BB,0.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.7%>,<Not Rated,4.9%>,<Non Debt,52.7%>",NA,NA,NA,NA,"<General,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,No>,<Smaller Companies,No>,<Fixed Interest,Yes>,<Derivatives,No>,<Cash/Money Market Funds,No>,<Property Funds,Yes>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>",NA,NA,NA,NA
Aviva_Pension_MyM_My_Future_Focus_Annuity_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,10.51%,NA,NA,"<41% Treasury Gilt 2049,9.4%>,<0.5% Treasury Gilt 2035,4.9%>,<41% Treasury Gilt 2042,4.2%>,<31% Treasury Gilt 2045,4.0%>,<34% Treasury Gilt 2053,3.8%>,<4% Treasury Gilt 2060,3.3%>,<41% Treasury Gilt 2055,2.5%>,<ZURICH FINANCE 5.125 23/11/52MTN,1.5%>,<14% Treasury Gilt 2051,1.4%>,<1 1/8 Treasury 2039,1.3%>","<UK Gilts,37.1%>,<International Bonds,29.5%>,<UK Corporate Bonds,29.4%>,<Other,2.4%>,<Cash/Money Market,1.5%>","<UK,66.5%>,<North America,12.2%>,<Developed Europe,8.8%>,<South & Central America,0.9%>,<Middle East & Africa,0.1%>,<Japan,0.4%>,<Developed Asia,0.1%>,<Australia & New Zealand,1.5%>",NA,"<AAA,1.2%>,<AA,42.8%>,<A,30.5%>,<BBB,17.0%>,<BB,0.4%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.5%>,<Not Rated,4.2%>,<Non Debt,2.4%>",NA,NA,NA,NA,A - General: Yes,NA,NA,1.50%,NA
